English Comments,Translate Comments
that it ll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,ይህ ምናልባት በ 2002 የበጋ ወቅት ምርጥ እንዲሁም በጣም በሳል ኮሜዲ በሥዕሉ ይልቅ ወቅቱ የሚናገረው ሊሆን ያገኛሉ መሆኑን
old people will love this movie and mean that in the nicest possible way last orders will touch the heart of anyone old enough to have earned 50 year friendship,የድሮ ሰዎች ይህን ፊልም ፍቅር እና በሠሩት ወደ ከሚያስገኛቸው በተቻለ መንገድ የመጨረሻ ትዕዛዞች ማንኛውም ሰው ዕድሜ በቂ ልብ መንካት መሆኑን 50 ዓመት ወዳጅነት ማለት ይሆናል
tian emphasizes the isolation of these characters by confining color to liyan backyard,tian liyan ጓሮ ቀለም የማያፈናፍን እነዚህን ገጸ ነጥሎ አጽንዖት
the movie is pretty funny now and then without in any way demeaning its subjects,ፊልሙን በማንኛውም መንገድ ዜጎቹ ዝቅ ያለ አሁንም ከዚያም ቆንጆ አስቂኝ ነው
imagine scenario where bergman approaches swedish fatalism using gary larson far side humor,በርግመን ጋሪ ላርሰን ሩቅ ጎን ቀልድ በመጠቀም ስዊድናዊ fatalism እየተቃረበ ባለበት ሁኔታ መገመት
too damn weird to pass up and for the blacklight crowd way cheaper and better than pink floyd tickets,በጣም ጎድጓዳው ያልተለመደ እና ለጥቁር ብርሃን ቧንቧዎች ርካሽ እና ከሐምራዊ ፍሎይድ ትኬቶች የተሻሉ እና የተሻሉ ናቸው
it is most remarkable not because of its epic scope but because of the startling intimacy it achieves despite that breadth,ምክንያቱም በውስጡ የግጥም ወሰን ሳይሆን በጣም አስገራሚ ነው; ነገር ግን ስለ አንድ አስገራሚ ሐሳብ ወዳጅነት መካከል በዚያ ወርድ ቢኖሩም የክንውን ውጤት
it not great monster movie but if you ve paid matinee price and bought big tub of popcorn there guilty fun to be had here chomp chomp,እርስዎ የሚከፈልበት ስለምናሳይ ዋጋ እና ፋንዲሻ መካከል የገዙ ትልቅ ገንዳ ቀምጥ ከሆነ ታላቅ አይደለም ጭራቅ ፊልም ግን ጥፋተኛ አዝናኝ እዚህ chomp chomp እዚያ ነበር ዘንድ
the grey zone gives voice to story that needs to be heard in the sea of holocaust movies but the film suffers from its own difficulties,ግራጫ ዞን የራሱ ችግሮች ከ እልቂት ፊልሞች ግን ፊልሙ ይሰቃያል ባሕር ውስጥ ሰምተው የሚያስፈልገው መሆኑን ታሪክ ድምፅ ይሰጣል
fun and nimble,አዝናኝ ጣቶቻቸው
others more attuned to the anarchist maxim that the urge to destroy is also creative urge or more willing to see with their own eyes will find morrison iconoclastic uses of technology to be liberating,ሌሎች ተጨማሪ ለማጥፋት የሚደረግብንን የፈጠራ የሚደረግብንን ወይም የቴክኖሎጂ እንዳያሳግድበት አጠቃቀሞች ሞሪሰን ታገኛላችሁ በገዛ ዓይናቸው ለማየት ይበልጥ ፈቃደኛ ነፃ ዘንድ በተጨማሪም መሆኑን anarchist መርሕ ጋር ተስማምተን
miller tells this very compelling tale with little fuss or noise expertly plucking tension from quiet,ሚለር ይህንን በጣም አሳማኝ ተረት ከፀጥተው ከፀጥተኞቹ የተጫነ ጩኸት ውጥረት
time out is existential drama without any of the pretension associated with the term,ጊዜ ቃል ጋር የተጎዳኘ pretension ማንኛውም ያለ existential ድራማ ነው
it sweet laugh minute crowd pleaser that lifts your spirits as well as the corners of your mouth,የእርስዎ መናፍስት እንዲሁም አፍህ ማዕዘኖች ያነሳቸዋል መሆኑን ጣፋጭ ሳቅ ደቂቃ ሕዝብ pleaser
movie that at its best doesn just make the most out of its characters flaws but insists on the virtue of imperfection,ፊልም የራሱ ምርጥ ከምስክር ላይ ብቻ በውስጡ ቁምፊዎች ጉድለቶች በጣም ውጭ ለማድረግ ግን አለፍጽምና በጎነት ላይ ማስፋፋቱን መሆኑን
it tough to watch but it fantastic movie,ይህ ከባድ ለመመልከት እንጂ ጋር አሪፍ ፊልም
the best animated feature to hit theaters since beauty and the beast 11 years ago,ውበት እና 11 ዓመታት በፊት አውሬው ጀምሮ ተወዳጅ ቲያትሮች ምርጥ የታነሙ ባህሪ
what saves this deeply affecting film from being merely collection of wrenching cases is corcuera attention to detail,ምን ከዓውዱ ሁኔታዎች መካከል ብቻ ስብስብ ከመሆን ይህን በጥልቅ ለውጥ ፊልም ያድናል ዝርዝር ላይ corcuera ትኩረት ነው
funny and touching,አስቂኝ እና ልብ የሚነካ
pacino is the best he been in years and keener is marvelous,pacino እሱ ዓመታት ውስጥ የነበረ የተሻለ ነው የሚገኙና አስደናቂ ነው
solid spooky entertainment worthy of the price of ticket,ትኬት ዋጋ የሚገባ ጠንካራ ማሳመሪያን መዝናኛ
by turns fanciful grisly and engagingly quixotic,ምናባዊና grisly እና engagingly ሀሳባውያን እናዘዋውራታለን
very funny very enjoyable,በጣም አስደሳች በጣም አስቂኝ
adaptation is intricately constructed and in strange way nails all of orlean themes without being true adaptation of her book,መላመድ በረቀቀ ተገንብተው እንግዳ መንገድ ምስማሮች orlean ገጽታዎች ሁሉ ከእርስዋ መጽሐፍ መሆን እውነተኛ መላመድ ያለ ነው
so purely enjoyable that you might not even notice it fairly straightforward remake of hollywood comedies such as father of the bride,ስለዚህ ያሰባሰባቸው አስደሳች እንኳን ይህ ሆሊውድ ያንኳኳው ቀጥተኛ remake ልብ አይደለም ዘንድ ሙሽራ አባት እንደ አስቂኞች
moonlight mile gives itself the freedom to feel contradictory things it is sentimental but feels free to offend is analytical and then surrenders to the illogic of its characters is about grief and yet permits laughter,ሞገዱ ማይል ይህ አዛኝ ነው የሚቃረኑ ነገሮችን ስሜት ራሱ ነጻነት ይሰጣል ነገር ግን የትንታኔ ነው ለማስቆጣት ነጻ ስሜት ከዚያም በውስጡ ቁምፊዎች illogic ወደ ለበጎቹ ኀዘን ስለ ነው እና ገና በሳቅ ይፈቅድልናል
the real triumphs in igby come from philippe who makes oliver far more interesting than the character lines would suggest and sarandon who couldn be better as cruel but weirdly likable wasp matron,igby ውስጥ እውነተኛ ድል አደረገ ገጸ መስመሮች መጠቆም ነበር እና sarandon ማን የተሻለ ጨካኝ ግን weirdly ቀጋ ተርብ በተቀጠረችበት እንደ መሆን አልተቻለም በላይ ኦሊቨር እጅግ የበለጠ አስደሳች የሚያደርገው ማን ፊሊፕ የሚመጡት
robin williams has thankfully ditched the saccharine sentimentality of bicentennial man in favour of an altogether darker side,ሮቢን ዊልያምስ ደስ የሚለው A ጠቃላይ ጠቆር ጎን የሚደግፍ የአብዮቱ ሰው saccharine በስሜት ditched አድርጓል
if you re willing to have fun with it you won feel cheated by the high infidelity of unfaithful,ከእናንተ ጋር አስደሳች ለማድረግ ፈቃደኛ ዳግም ከሆነ ስሜት ታማኝነቱን ከፍተኛ ማጉደል እንደሚታለሉ አሸንፈዋል
australia land beyond time is an enjoyable big movie primarily because australia is weirdly beautiful place,አውስትራሊያ ባሻገር ከጊዜ በኋላ አውስትራሊያ በዋነኝነት አስደሳች ፊልም ነው ምክንያቱም አውስትራሊያ ግድየለሽነት ነው
hoffman performance is authentic to the core of his being,ሆፍማን አፈጻጸም የእርሱ ፍጡር ያለውን ዋና ጋር እውነተኛ ነው
captivating coming of age story that may also be the first narrative film to be truly informed by the wireless age,በተጨማሪም የመጀመሪያው ትረካ ፊልም ሊሆን እንደሚችል የዕድሜ ታሪክ መምጣት የሚስቡ በእውነት አልባ ዕድሜ መረጃ ወደ
what could have been daytime soap opera is actually compelling look at young woman tragic odyssey,ምን በቀን ሳሙና ኦፔራ ሊሆን ይችላል ወጣት ሴት አሳዛኝ የተጓተተው ላይ አሳማኝ መልክ በእርግጥ ነው
duvall is strong as always,duvall ሁልጊዜ እንደ ጠንካራ ነው
no holds barred cinematic treat,ምንም በይርጋ የሲኒማ ተደረገልን ተካሄደ
you have to be most hard hearted person not to be moved by this drama,በዚህ ድራማ ይንቀሳቀሳሉ አይደለም በጣም ከባድ በሌባቸው ሰው መሆን
allen underestimated charm delivers more goodies than lumps of coal,አለን አቅልለው ሞገስ ከሰል ቦሮውዴል በላይ እቃዎችን ያቀርባል
measured against practically any like themed film other than its oscar sweeping franchise predecessor the silence of the lambs kirmizi dragon rates as an exceptional thriller,በውስጡ ኦስካር ስለሚያሳዩ franchise አቻና ሌላ በአስደሳች ፊልም እንደ በተግባር ማንኛውንም ላይ ለካ አንድ ለየት ትሪለር እንደ ጠቦቶች kirmizi ዘንዶውን ተመኖች ላይ ዝምታ
an exhilarating serving of movie fluff,እየተሹለከለከ ፊልም fluff ውስጥ በማገልገል
maelstrom is strange and compelling engrossing and different moral tale with twisted sense of humor,ኢንቱ ተጫዋች የተጣመመ ስሜት ጋር እንግዳ እና አሳማኝ engrossing እና የተለያዩ የሞራል ተረት ነው
it makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small budget film,ጣውላውን እና ሰራተኛ ራሳቸውን በደንብ እንደተደሰቱ እንዲያምኑ ያደርግዎታል እናም በትንሽ በጀት ፊልም አምነው አመኑ
dark and disturbing yet compelling to watch,ጥቁር እና ገና አሳማኝ የሚረብሽ ለመመልከት
too often son of the bride becomes an exercise in trying to predict when preordained big moment will occur and not if,ትልቅ ቅጽበት ሊከሰት ሳይሆን ከሆነ ይሆናል ያወጣው ጊዜ በጣም ብዙ ጊዜ ሙሽራ ልጅ ለመተንበይ በመሞከር ላይ ልምምድ ይሆናል
the picture uses humor and heartfelt conviction to tell story about discovering your destination in life but also acknowledging the places and the people from whence you came,ስዕሉን አጠቃቀም ቀልድ እና ከልብ የመነጨ እምነት ሕይወት ውስጥ በመድረሻ በማግኘትም ግን ደግሞ ቦታዎች አምኖ ስለ ታሪክ መንገር እና ወደ አንተ መጥቶ ከወዴት ሰዎች
solid piece of journalistic work that draws picture of man for whom political expedience became deadly foreign policy,የፖለቲካ expedience ገዳይ የውጭ ፖሊሲ ሆነ ለማን የሰው ምስል ይስባል መሆኑን journalistic ሥራ ጠንካራ ቁራጭ
terrific insider look at the star making machinery of tinseltown,tinseltown ኮከብ በማድረጉ ማሽነሪዎች ላይ ቀውጢ insider እይታ
it diverting enough hour and half for the family audience,ይህ ቤተሰብ ታዳሚዎች የሚሆን በቂ ሰዓት ተኩል በማስቀየር
party hearty teen flick that scalds like acid,ፓርቲ ቁርሳቸውን በአሥራዎቹ ጨረፍታ መሆኑን አሲድ እንደ scalds
as giddy and whimsical and relevant today as it was 270 years ago,ዛሬ አሳጥቶኝ እና ዊሎውስ እና አግባብነት እንደ 270 ዓመት በፊት ነበር እንደ
the pianist is the film roman polanski may have been born to make,የ ፒያኖ ተጫዋች ፊልሙ የሮማውያን polanski ለማድረግ የተወለደ ሊሆን ይችላል ነው
this version does justice both to stevenson and to the sci fi genre,በዚህ ስሪት ስቲቨንሰን እና ልብወለድ Fi ዘውግ ሁለቱም ፍትሕ ነው
poignant and delicately complex,ልብ የሚነኩ በቅምጥልነት ውስብስብ
enough may pander to our basest desires for payback but unlike many revenge fantasies it ultimately delivers,ለተከፈለባቸው ክፍያዎች ክፍያ በቂ ሊለብስ ይችላል ነገር ግን ከብዙ የበለፀገ ቅ as ት በተቃራኒ በመጨረሻ ወደ ቀድሞው በቀል ቅ as ት ይሰጣል
cho latest comic set isn as sharp or as fresh as the one that want but it still damn funny stuff,ኢያሪኮ የቅርብ የቀልድ ስብስብ ስለታም እንደ ወይም የሚፈልጉትን ሰው እንደ ትኩስ ሆኖ እየሰጠ አይደለም ነገር ግን አሁንም የሚይዘው አስቂኝ ነገሮች
in the pianist polanski is saying what he has long wanted to say confronting the roots of his own preoccupations and obsessions and he allows nothing to get in the way,የ ፒያኖ ተጫዋች ውስጥ polanski እሱ ከረጅም ጊዜ የራሱን preoccupations እና ዓይነቱን ሥሮች መጋፈጡ ለማለት ፈልጎ እርሱም መንገድ ለማግኘት ምንም ነገር ይፈቅዳል ምን እያሉ ነው
those who love cinema paradiso will find the new scenes interesting but few will find the movie improved,ሲኒያ ፓራሶሶን የሚወዱ አዲሶቹን ትዕይንቶች አስደሳች ሆነው ያገኙታል ግን ጥቂቶች ፊልሙ ተሻሽለዋል
if you come from family that eats meddles argues laughs kibbitzes and fights together then go see this delightful comedy,የቤተሰብ የመጡ ከሆነ ይበላል ጣልቃ ከዚያም ይህንን አስደሳች ኮሜዲ ማየት በጉዞ አብረው ሲስቁ kibbitzes ጠብ ይከራከራሉ መሆኑን
the reason to see sade lay with the chemistry and complex relationship between the marquis auteil and emilie le besco,ምክንያት በ marquis auteil እና ኤሚሊ Le besco መካከል ኬሚስትሪ እና ውስብስብ ግንኙነት ጋር sade የተኛበትን ለማየት
it the filmmakers post camp comprehension of what made old time movies good bad that makes eight legged freaks perfectly entertaining summer diversion,ይህ ፊልም ሰሪዎች ስምንት እግር ሚዩቴሽን ፍጹም አዝናኝ የበጋ ልንይዝ የሚያደርገው ጥሩ መጥፎ የድሮ ጊዜ ፊልሞችን አድርጓል ነገር ሰፈር ግንዛቤ ይለጥፉ
it strikes hardest when it reminds you how pertinent its dynamics remain fifty years after the fact the world political situation seems little different and [director phillip] noyce brings out the allegory with remarkable skill,እርስዎ ያስታውሰናል ጊዜ በውስጡ ተለዋዋጭ ዓለም የፖለቲካ ሁኔታ ትንሽ የተለየ እና [ዳይሬክተር ፊሊፕ] ይመስላል እውነታ በኋላ አምሳ ዓመት መቆየት እንዴት ከሚመለከታቸው ከባዱ ቢመታ noyce አስደናቂ ችሎታ ጋር ምሳሌ ያወጣል
best seen as speculative history as much an exploration of the paranoid impulse as creative sequel to the warren report,የተሻለ ዋረን ሪፖርት የመፍጠር ተከታይ እንደ Paranoid ተነሳስቼ ያህል አንድ ፍለጋና እንደ በግምት ታሪክ ሆኖ ይታያል
it has its faults but it is kind unapologetic sweetheart of movie and mandy moore leaves positive impression,ድክመቶቹ አሉት ግን የፊልም እና የማንዲ ሙሻ ብልህነት ነው
the saigon of 1952 is an uneasy mix of sensual delights and simmering violence and the quiet american brings us right into the center of that world,1952 ላይ ሳይጎን መብት በዚያ ዓለም ማዕከል ወደ ያመጣናል አንድ ሥጋዊ ይሰኛል መፍራትህ ድብልቅ እና ጦፈዋል ጥቃት እና የአሜሪካ ያለው ፀጥ ነው
despite its shortcomings girls can swim represents an engaging and intimate first feature by talented director to watch and it worthy entry in the french coming of age genre,የራሱ ድክመቶች ቢኖሩም መዋኘት ይችላል ሴቶች ለመመልከት ተሰጥኦ ዳይሬክተር የሆነ የሚያሳትፍ እና ጥብቅ የመጀመሪያ ባህሪ ይወክላል እና በፈረንሳይ ውስጥ የሚገባ መግቢያ ዕድሜ ዘውግ መምጣት
with dirty deeds david caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control driven by natural sense for what works on screen,ቆሻሻ ተግባሮች ዳዊት ቄሳር አቀፍ አድናቆትን አትርፏል የሚገባ እና ማያ ገጽ ላይ የሚሰራው ነገር ተፈጥሯዊ ስሜት የሚነዳ በሚገባ በእሱ ቁጥጥር ሥር ሁሉ የሲኒማ መሣሪያ ጋር ማረጋገጫ ጋር filmmaking ውስጥ ማካተት ከረገጠበት አድርጓል ጋር
the humor and humanity of monsoon wedding are in perfect balance,በሚጥልበት የሠርግ ያለውን ቀልድ እና በሰው ልጆች ፍጹም ሚዛን ውስጥ ናቸው
lookin for sin american style try hell house which documents the cautionary christian spook rama of the same name,ለኃጢያት WININION WHINININION የአሜሪካ ዘይቤ ተመሳሳይ ስም የሚጠነቀቁ ጥንቃቄ የተሞላባቸውን ጥቃቅን የሚጠነቀቁትን የሚመረምር ገሃነም ነው
compelling motion picture that illustrates an american tragedy,አንድ አሜሪካዊ አሳዛኝ የሚያሳይ አሳማኝ እንቅስቃሴ ስዕል
it day at the beach with air conditioning and popcorn,አየር ማቀዝቀዣ እና ፋንዲሻ ጋር ዳርቻው አጠገብ ቀን
frida isn that much different from many hollywood romance what sets it apart is the vision that taymor the avant garde director of broadway the lion king and the film titus brings,ብዙ የሆሊዉድ የፍቅር ጀምሮ ብዙ የተለየ ነገር ያለ ያኖረዋል ራእዩ taymor Broadway አንበሳ ንጉሥ ባለ ተለየ አዕምሮ ለመባል ዳይሬክተር እና የፊልም ቲቶ የሚያመጣ መሆኑን ነው frida እየሰጠ
stevens has flair for dialogue comedy the film operates nicely off the element of surprise and the large cast is solid,"Stevens ፊልሙ ድንገተኛ ኤለመንት ማጥፋት በቆንጆ ሁኔታ ነው የሚሰራው, እና ትልቅ ድባብ ጠንካራ ነው መገናኛ ኮሜዲ የሚሆን መፈታታትና አለው"
extremely well acted by the four primary actors this is seriously intended movie that is not easily forgotten,በአራቱ የመጀመሪያዎቹ አከርካሪዎች በጣም በጥሩ ሁኔታ ተሠርተዋል ይህ በቀላሉ የማይረሳው በጣም የታሰበ ፊልም ነው
19 the widowmaker is derivative overlong and bombastic yet surprisingly entertaining,19 ወደ widowmaker ገና በሚገርም አዝናኝ የመነጩ overlong እና ከልክ በላይ ነው
it good hard edged stuff violent and bit exploitative but also nicely done morally alert and street smart,"እሱ ጥሩ ከባድ ድግግሞሽ እና ቢት ብካቲሽ ግን በጥሩ ሁኔታ አከናውነዋል, እና የጎዳና ላይ ብልህንም አከናውኗል"
cineasts will revel in those visual in jokes as in the film verbal pokes at everything from the likes of miramax chief harvey weinstein bluff personal style to the stylistic rigors of denmark dogma movement,ወደ ዴንማርክ ቀኖና እንቅስቃሴ ወደ በግጥሞችና መገላገሏ ወደ ጨርሰን የግል ቅጥ weinstein miramax ዋና ሃርቪ ስለ የተወደዱ ከ cineasts ሁሉ ላይ አለማለፉን የቃል በፊልሙ ውስጥ እንደ ቀልዶች ውስጥ ያሉትን የምስል ሲዘፍኑ ይሆናል
perhaps the best sports movie ve ever seen,ምናልባትም ምርጥ የስፖርት ፊልም አይተውት አድርገናል
cho timing is priceless,በኢያሪኮ የጊዜ አጠባበቅ በዋጋ ነው
creates visceral sense of its characters lives and conflicted emotions that carries it far above what could have been melodramatic lifetime channel style anthology,እስካሁን ሊሆን ይችላል ነገር melodramatic የህይወት ሰርጥ ቅጥ አሰባስቦ በላይ ይቀላቅለዋል መሆኑን በውስጡ ቁምፊዎች ሕይወታቸው ለገሃነመ ስሜት እና የሚጋጩ ስሜት ይፈጥራል
an edgy thriller that delivers surprising punch,አስገራሚ ጡጫ የሚያቀርብ አንድ አስቆጪ ትሪለር
reasonably entertaining sequel to 1994 surprise family hit that may strain adult credibility,ምክንያታዊ 1994 ድንገተኛ ቤተሰብ ተከታይ አዝናኝ መሆኑን አዋቂ ተዓማኒነት ውጥረት ይችላል ይምቱ
[reno] delivers monologue that manages to incorporate both the horror and the absurdity of the situation in well balanced fashion,[ሬኖ] በ አስፈሪ እና እንዲሁም ሚዛናዊ ፋሽን ውስጥ ያለውን ሁኔታ absurdity ሁለቱም ማካተት ወደ አስተዳድራለሁ monologue ያቀርባል
there is truth here,እውነት እዚህ አለ
confident richly acted emotionally devastating piece of work and 2002 first great film,ሥራ እርግጠኛ በሙላት እርምጃ ስሜቱ ክፉኛ ቁራጭ እና 2002 የመጀመሪያው ታላቅ ፊልም
touching small scale story of family responsibility and care in the community,በማህበረሰቡ ውስጥ የቤተሰብ ኃላፊነት እና እንክብካቤ ልብ በሚነካ አነስተኛ ታሪክ
the casting of von sydow is itself intacto luckiest stroke,von sydow መባረራቸው የምርቃትቷ የጭረት intacto ራሱ ነው
gem of romantic crime comedy that turns out to be clever amusing and unpredictable,ብልህ የሚያዝናኑ በዘፈቀደና ሆኖ ስናገኘው መሆኑን የፍቅር ወንጀል የአስቂኝ እንቁ
stands as one of the year most intriguing movie experiences letting its imagery speak for it while it forces you to ponder anew what movie can be,ዓመት እንደ አንዱ ቆሞአል አንተ ፊልም ሊሆን ይችላል ነገር ልትገዙ ማሰላሰል ያስገድዳቸዋል ሳለ ለእሱ ያለውን ምስል ትናገራለህና ከመፍቀድ በጣም አስደናቂ ፊልም ተሞክሮዎች
the first of the film are incredibly captivating and insanely funny thanks in part to interesting cinematic devices cool visual backmasking solid cast and some wickedly sick and twisted humor,ፊልሙ የመጀመሪያ በማይታመን የሚስቡ ናቸው እና ሳቢ የሲኒማ መሣሪያዎች ክፍል ውስጥ በማይታመን ሁኔታ አስቂኝ ምስጋና የእይታ backmasking ጠንካራ Cast እና አንዳንድ ክፉ የታመመ ጠማማ ቀልድ ይቀዘቅዛል
this movie got me grinning there part of us that cannot help be entertained by the sight of someone getting away with something,ይህን ፊልም ከእኔ እርዳታ ነገር ጋር ወዲያ ማግኘት ሰው ፊት ለመዝናናት የማይችል ከእኛ መካከል በዚያ ክፍል የሚልፍ አግኝቷል
an old fashioned drama of substance about teacher slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue,ሀብታም እና በጎነትን ምንም እንጂ ከንቀት ካላቸው ኃያል ጋር አንድ ገጠመኝ በኋላ ማጉደል ትዳርን እንደሚያፈርስ ታች መምህር ስላይድ ስለ ንጥረ ነገር አንድ የድሮው የሚሰሩ ድራማ
what not to like about movie with children song that includes the line my stepdad not mean he just adjusting,የእንጀራ አዳኙን መስመር የሚያካትት የሁለተኛ ደረጃን የሚያካትት ስለ ፊልም ምን ማለት አይደለም?
this english language version does full honor to miyazaki teeming and often unsettling landscape and to the conflicted complexity of his characters,በዚህ የእንግሊዝኛ ቋንቋ ስሪት ሚያዛኪ ወደሚርመሰመስባት እና ብዙውን ጊዜ በሚረብሽ የመሬት እና የእርሱ ቁምፊዎች ወደ የሚጋጩ ውስብስብነት ወደ ሙሉ ክብር ነው
the pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious minded concerns of other year end movies,ብዙ moviegoers ለመጠበቅ በቂ ሊሆን ይችላል አቅም እንዴት እንደሆነ ተድላ ሌሎች ዓመት መጨረሻ ፊልሞች ይበልጥ ከባድ አስተሳሰብ አሳሳቢ አንዳንድ ዘመናውያን ተቆጣጠሩ
not everyone will welcome or accept the trials of henry kissinger as faithful portraiture but few can argue that the debate it joins is necessary and timely one,ሁሉም በደስታ ወይም ታማኝ portraiture እንደ ሄንሪ ኪሲንገር ፈተናዎች መቀበል ግን ጥቂቶች ይቀላቀላል ክርክሩ አስፈላጊ እና ወቅታዊ ነው ብሎ መከራከር ይችላል ይሆናል
there are no special effects and no hollywood endings,ምንም ልዩ ውጤቶች እና ምንም የሆሊዉድ መጨረሻዎችን አሉ
like the original this version is raised few notches above kiddie fantasy pablum by allen astringent wit,እንደ መጀመሪያው ስሪት ከ KIDIY FANTASY PANBLUS በላይ ጥቂቶች በጥቂት ቦታዎች ያድጋሉ
despite its hawaiian setting the science fiction trimmings and some moments of rowdy slapstick the basic plot of lilo could have been pulled from tear stained vintage shirley temple script,በውስጡ የሃዋይ ቅንብር ቢሆንም lilo መሰረታዊ ሴራ ከዓይኖቻቸው ከ አፈረሰ ሊሆን ይችላል የሳይንስ ልብወለድ trimmings እና ንሰሳት slapstick አንዳንድ አፍታዎች መቍረጥ ከሸርሊ መቅደስ ስክሪፕት ቆሽሸዋል
brutally honest documentary about much anticipated family reunion that goes wrong thanks to culture shock and refusal to empathize with others,ባህል ድንጋጤ እና ከሌሎች ጋር ችግራቸውን ወደ ባለመሆናቸው ስህተት ምስጋና ይሄዳል ብዙ ሳገኝ ቤተሰብ እንደገና ከተገናኙ ስለ እወድላታለሁ ጥናታዊ
sparkles in its deft portrait of tinseltown seasoned veterans of gossip wealth paranoia and celebrityhood,የ tinntown ወቅታዊ የ tosspy Patera Patnoia እና ዝነኛ ethangown tinatowns
in its dry and forceful way it delivers the same message as jiri menzel closely watched trains and danis tanovic no man land,የራሱ ደረቅ እውንና መንገድ ውስጥ jiri በቅርበት የታዩ ባቡሮች menzel ተመሳሳይ መልእክት ማንም ሰው መሬት tanovic danis
one of kind near masterpiece,ዓይነት አቅራቢያ ድንቅ አንዱ
triumph of emotionally and narratively complex filmmaking,ስሜታዊ እና narratively ውስብስብ filmmaking መካከል ድል
[haynes homage to such films as all that heaven allows and imitation of life transcends them simply put far from heaven is masterpiece,ሰማይ ይፈቅዳል እና እነሱን በቀላሉ ሩቅ ከሰማይ ማስቀመጥ ሕይወት የማይገድበው በመኮረጅ ድንቅ ነው በሁሉም ዘንድ እንደ [ጽሑፋቸውን ያሉ ፊልሞች ሰገዱለት
an intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time,ከእኛ በጣም ብዙ ያለን ጊዜ በጣም ብዙ ያሳልፋሉ የት ብቸኝነት እና አካባቢያቸው ያለውን ብርዳማ anonymity ስለ የጠነከረና ውጤታማ ፊልም
although fairly involving as far as it goes the film doesn end up having much that is fresh to say about growing up catholic or really anything,በተገቢው እስከ ብዙ ትኩስ ነው ያለው እስከ መጨረሻ ከምስክር ፊልሙ የሚሄድ እንደ የሚያካትቱ ቢሆንም ካቶሊክ ወይም በእርግጥ ማንኛውንም ከፍ ስለማሳደግ ለማለት
proves mainly that south korean filmmakers can make undemanding action movies with all the alacrity of their hollywood counterparts,ኮሪያ በደቡብ አርቲስትና ሆሊውድ መሰሎቻቸው ሁሉ ኢሰብኢዊና undemanding ድርጊት ፊልሞች ማድረግ ይችላሉ በዋነኝነት መሆኑን ያረጋግጣል
very funny romantic comedy about two skittish new york middle agers who stumble into relationship and then struggle furiously with their fears and foibles,ግንኙነት ወደ ይሰናከሉበታልና; ከዚያም ያላቸውን ፍርሃትና አጋንነን ጋር በቁጣ ትግል ሁለት አይያዙም ኒው ዮርክ መካከለኛ agers ስለ በጣም አስቂኝ የፍቅር ኮሜዲ
top notch action powers this romantic drama,ከላይ እየፈተለች እርምጃ ኃይሎች ይህንን የፍቅር ድራማ
beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart it really is shame that more won get an opportunity to embrace small sweet evelyn,beresford በቆንጆ ያህል ቀልድ ውስጥ ስብስቦች የዘውጉን ልብ ውስጥ ያለውን አዛኝ ጉዞ ላይ እኛን ለመውሰድ እንደ በእርግጥ ተጨማሪ ዎን ትንሽ ጣፋጭ ኤቭሊን እንዲቀበሉ አጋጣሚ ማግኘት መሆኑን ነውር ነውና;
probably the best case for christianity since chesterton and lewis,chesterton እና Lewis ጀምሮ ክርስትና ምናልባት የተሻለ ሁኔታ
gently funny sweetly adventurous film that makes you feel genuinely good that is to say entirely unconned by false sentiment or sharp overmanipulative hollywood practices,እርስዎ ሙሉ ለሙሉ ሐሰት ስሜት ወይም ስለታም overmanipulative የሆሊዉድ ድርጊቶች በ unconned ማለት እንደሆነ ከልባቸው መልካም ስሜት የሚያደርገው ቀስ አስቂኝ sweetly ጀብደኛ ፊልም
would be an unendurable viewing experience for this ultra provincial new yorker if 26 year old reese witherspoon were not on hand to inject her pure fantasy character melanie carmichael with massive infusion of old fashioned hollywood magic,26 ዓመት ዕድሜ reese witherspoon የድሮው የሚሰሩ የሆሊዉድ በአስማት ግዙፍ ከሚኖረው ጋር ከእሷ ንጹሕ ምናባዊ ገጸ ሜላኒ carmichael ወጋ ለማድረግ እጅ ላይ ባይሆን ኖሮ ይህ እጅግ የጠቅላይ ግዛት አዲስ yorker አንድ ልንወጣቸው የእይታ ተሞክሮ ይሆናል
visually fascinating an often intense character study about fathers and sons loyalty and duty,አባቶች እና ልጆች ታማኝነት እና ግዴታ ስለ በሚታይ አስደናቂ የሆነ ብዙውን ጊዜ ከፍተኛ ቁምፊ ጥናት
lyrical metaphor for cultural and personal self discovery and picaresque view of little remembered world,ለባህላዊ እና የግል የራስ ግኝት እና ለየት ያለ ዓለም ለክፉ ግኝት የመሳብ ችሎታ
